Subject.Id,Contact.ID,cat,svy_contact,empstatus,jailprison,close,baseline_flag,dup,reinstall_flag1,reinstall_flag2,phonesurvey,Total number of calls,Total duration of calls,Total incoming calls,Total outgoing calls,Total number of missed calls,"Total number of incoming calls, excluding missed",Proportion of incoming calls answered,"0 to 1, =1 perfect reciprocity",Proportion of calls incoming,Duration of incoming calls,Duration of outgoing calls,Total number of night calls,Any night call,Number of incoming calls at night,Number of outgoing calls at night,Any night incoming call,Any night outgoing call,Min days between calls,Max days between calls,Total number of texts,Any night text,Number of texts at night,Min days between texts,Max days between texts
1004,a0000022aa5cd6-459702284,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,6,9
1004,a0000022aa5cd6-499467499,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,9,1,2
1004,a0000022aa5cd6106585274,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1004,a0000022aa5cd61128306834,No phone survey,,,,,,,1,1,0,4,528,3,1,2,1,0.333333343,0.5,0.75,403,125,0,0,0,0,0,0,9,9,13,1,4,1,5
1004,a0000022aa5cd61282264658,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,19,1,4
1004,a0000022aa5cd61447330108,Phone survey,Person,Not Working,0,100,0,1,1,1,1,6,261,2,4,0,2,1,0.666666687,0.333333343,119,142,2,1,1,4,1,1,2,2,14,1,12,1,4
1004,a0000022aa5cd61685770290,No phone survey,,,,,,,1,1,0,39,21287,26,13,5,21,0.807692289,0.666666627,0.666666687,17604,3683,2,1,9,2,1,1,1,3,508,1,105,1,2
1004,a0000022aa5cd617610566,No phone survey,,,,,,,1,1,0,18,586,2,16,1,1,0.5,0.222222209,0.111111112,55,531,2,1,2,16,1,1,1,7,37,1,37,1,6
1004,a0000022aa5cd61907322767,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
1004,a0000022aa5cd62103159229,Phone survey,Person,,1,55,0,0,1,1,1,5,94,0,5,0,0,0,0,0,0,94,1,1,0,5,0,1,1,3,2,1,2,,
1004,a0000022aa5cd62107577436,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,6,2,10
1004,a0000022aa5cd6373358203,No phone survey,,,,,,,1,1,0,1,249,1,0,0,1,1,0,1,249,0,0,0,0,0,0,0,,,4,0,0,7,10
1004,a0000022aa5cd6610471442,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
1004,a0000022aa5cd6777191827,No phone survey,,,,,,,1,1,0,2,54,0,2,0,0,0,0,0,0,54,1,1,0,1,0,1,3,3,13,1,1,1,7
1004,a0000022aa5cd6846559228,Phone survey,Person,Working Informally,1,100,0,1,1,1,1,27,2261,11,16,0,11,1,0.814814806,0.407407403,991,1270,2,1,6,11,1,1,1,7,7,1,2,,
1004,a0000022d95d9b-1007310865,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1004,a0000022d95d9b-1018899778,No phone survey,,,,,,,1,1,0,2,425,1,1,1,0,0,1,0.5,0,425,0,0,0,0,0,0,,,1,0,0,,
1004,a0000022d95d9b-1043125280,Phone survey,Person,Not Working,0,100,0,1,1,1,1,2,114,0,2,0,0,0,0,0,0,114,0,0,0,0,0,0,3,3,1,0,0,,
1004,a0000022d95d9b-1123072749,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,3,3
1004,a0000022d95d9b-1129549971,No phone survey,,,,,,,1,1,0,3,333,0,3,0,0,0,0,0,0,333,1,1,0,1,0,1,3,32,1,0,0,,
1004,a0000022d95d9b-1264985250,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1004,a0000022d95d9b-1267533102,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,
1004,a0000022d95d9b-1718462213,No phone survey,,,,,,,1,1,0,2,359,0,2,0,0,0,0,0,0,359,1,1,0,1,0,1,36,36,3,1,1,38,38
1004,a0000022d95d9b-1972399328,Phone survey,Business - work or search related,,,,0,0,1,1,1,1,30,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,,,10,0,0,1,14
1004,a0000022d95d9b-32652279,No phone survey,,,,,,,1,1,0,13,1392,4,9,1,3,0.75,0.615384638,0.307692319,329,1063,2,1,2,2,1,1,1,32,3,1,1,6,32
1004,a0000022d95d9b-459702284,No phone survey,,,,,,,1,1,0,8,173,3,5,2,1,0.333333343,0.75,0.375,39,134,2,1,3,3,1,1,1,19,1,0,0,,
1004,a0000022d95d9b-731068266,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,
1004,a0000022d95d9b-879869607,Phone survey,Person,Self-employed,0,100,0,0,1,1,1,3,149,0,3,0,0,0,0,0,0,149,0,0,0,0,0,0,,,3,1,1,34,34
1004,a0000022d95d9b106585274,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,9,9
1004,a0000022d95d9b1282264658,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,4,5
1004,a0000022d95d9b1325281806,No phone survey,,,,,,,1,1,0,2,28,1,1,0,1,1,1,0.5,27,1,1,1,0,1,0,1,8,8,1,0,0,,
1004,a0000022d95d9b1447330108,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,1,18
1004,a0000022d95d9b1685770290,No phone survey,,,,,,,1,1,0,30,12676,21,9,3,18,0.857142866,0.600000024,0.699999988,10900,1776,1,1,3,0,1,0,1,1,148,1,30,1,8
1004,a0000022d95d9b17610566,Phone survey,Person,Not Working,0,100,0,0,1,1,1,3,94,0,3,0,0,0,0,0,0,94,1,1,0,3,0,1,,,3,1,1,5,5
1004,a0000022d95d9b2078181599,No phone survey,,,,,,,1,1,0,4,176,0,4,0,0,0,0,0,0,176,1,1,0,4,0,1,1,1,1,0,0,,
1004,a0000022d95d9b2107577436,No phone survey,,,,,,,1,1,0,2,51,0,2,0,0,0,0,0,0,51,1,1,0,1,0,1,16,16,6,1,1,3,3
1004,a0000022d95d9b373358203,No phone survey,,,,,,,1,1,0,3,113,2,1,1,1,0.5,0.666666627,0.666666687,75,38,0,0,0,0,0,0,41,41,1,0,0,,
1004,a0000022d95d9b716178158,No phone survey,,,,,,,1,1,0,1,409,1,0,0,1,1,0,1,409,0,0,0,0,0,0,0,,,1,0,0,,
1004,a0000022d95d9b724174676,No phone survey,,,,,,,1,1,0,17,566,5,12,3,2,0.400000006,0.588235319,0.294117659,34,532,1,1,0,2,0,1,1,8,2,1,1,19,19
1004,a0000022d95d9b770955771,No phone survey,,,,,,,1,1,0,1,471,0,1,0,0,0,0,0,0,471,0,0,0,0,0,0,,,3,0,0,,
1004,a0000022d95d9b777191827,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1004,a0000022d95d9b787366821,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,
1004,a0000022d95d9b846559228,Phone survey,Person,Working Informally,1,100,0,0,1,1,1,18,956,8,10,2,6,0.75,0.888888896,0.444444448,712,244,2,1,1,9,1,1,1,15,5,1,2,2,33
1005,a0000022aa2754-1630731071,No phone survey,,,,,,,0,0,0,3,37,2,1,2,0,0,0.666666627,0.666666687,0,37,0,0,0,0,0,0,6,9,5,0,0,3,7
1005,a0000022aa2754-1686587716,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,1,1
1005,a0000022aa2754-1706238429,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
1005,a0000022aa2754-482219492,No phone survey,,,,,,,0,0,0,4,303,3,1,2,1,0.333333343,0.5,0.75,27,276,1,1,2,0,1,0,,,1,0,0,,
1005,a0000022aa2754-721824616,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,6,1,29
1005,a0000022aa2754-765626467,Phone survey,Person,Working Formally,1,100,0,0,0,0,1,3,391,2,1,1,1,0.5,0.666666627,0.666666687,240,151,0,0,0,0,0,0,7,7,1,0,0,,
1005,a0000022aa2754-97022750,Phone survey,Person,Not Working,0,100,1,0,0,0,1,4,483,0,4,0,0,0,0,0,0,483,1,1,0,2,0,1,7,19,2,0,0,,
1005,a0000022aa27541246917405,No phone survey,,,,,,,0,0,0,71,2957,37,34,9,28,0.756756783,0.957746506,0.521126747,1209,1748,2,1,4,6,1,1,1,21,1,1,1,,
1005,a0000022aa27541399223739,No phone survey,,,,,,,0,0,0,22,484,8,14,2,6,0.75,0.727272749,0.363636374,148,336,2,1,1,1,1,1,1,10,2,1,1,52,52
1005,a0000022aa275431589183,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,1,2,5
1005,a0000022aa2754318478694,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,2,7
1005,a0000022aa2754441586395,Phone survey,,,,,0,1,0,0,1,2,133,1,1,1,0,0,1,0.5,0,133,2,1,1,1,1,1,,,4,1,3,6,6
1005,a0000022aa275448329211,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,15,5,12
1005,a0000022aa2754491933676,No phone survey,,,,,,,0,0,0,2,181,1,1,1,0,0,1,0.5,0,181,1,1,1,0,1,0,,,15,1,9,1,42
1005,a0000022aa275489361782,Phone survey,Person,Working Formally,0,75,0,0,0,0,1,19,990,12,7,3,9,0.75,0.736842155,0.631578922,594,396,0,0,0,0,0,0,1,48,6,1,5,2,2
1006,a0000022aabd49-182495974,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1006,a0000022aabd49-2051300460,No phone survey,,,,,,,0,0,0,1,69,0,1,0,0,0,0,0,0,69,1,1,0,1,0,1,,,1,0,0,,
1006,a0000022aabd49-306569221,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,3,8
1007,a0000022d89962-1316308630,No phone survey,,,,,,,1,1,0,14,1968,9,5,4,5,0.555555582,0.714285731,0.642857134,677,1291,0,0,0,0,0,0,1,29,3,0,0,9,9
1007,a0000022d89962-1497052637,Phone survey,Person,,,,1,0,1,1,1,5,17,3,2,3,0,0,0.799999952,0.600000024,0,17,1,1,1,0,1,0,1,21,9,1,3,4,14
1007,a0000022d89962-1683967058,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,3,6,7
1007,a0000022d89962-1739537969,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,
1007,a0000022d89962-1758596403,No phone survey,,,,,,,1,1,0,307,27614,172,135,103,69,0.401162803,0.879478812,0.560260594,6664,20950,2,1,47,28,1,1,1,5,8,1,3,1,10
1007,a0000022d89962-1944098450,No phone survey,,,,,,,1,1,0,6,1585,4,2,1,3,0.75,0.666666627,0.666666687,678,907,2,1,1,1,1,1,1,37,1,0,0,,
1007,a0000022d89962-312152986,No phone survey,,,,,,,1,1,0,270,105517,86,184,36,50,0.581395328,0.637037039,0.318518519,26674,78843,2,1,31,81,1,1,1,6,77,1,29,1,14
1007,a0000022d89962-371693711,Phone survey,Person,Working Formally,0,30,0,0,1,1,1,75,8453,24,51,10,14,0.583333313,0.639999986,0.319999993,3482,4971,2,1,13,23,1,1,1,8,6,1,2,1,4
1007,a0000022d89962-378561458,Phone survey,Person,Working Formally,0,60,0,0,1,1,1,238,53398,79,159,31,48,0.607594907,0.663865566,0.331932783,10871,42527,2,1,29,51,1,1,1,17,7,0,0,5,5
1007,a0000022d89962-571176483,No phone survey,,,,,,,1,1,0,8,1157,3,5,1,2,0.666666687,0.75,0.375,1000,157,2,1,2,2,1,1,6,6,82,1,20,1,5
1007,a0000022d89962-755867066,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1007,a0000022d89962-839690762,Phone survey,Person,,,,1,0,1,1,1,3,320,2,1,1,1,0.5,0.666666627,0.666666687,102,218,1,1,2,0,1,0,,,10,1,1,1,24
1007,a0000022d89962-870287736,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,,
1007,a0000022d89962-944088889,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,3,1,13
1007,a0000022d89962-976506745,No phone survey,,,,,,,1,1,0,10,960,1,9,1,0,0,0.199999988,0.100000001,0,960,0,0,0,0,0,0,1,4,1,1,1,,
1007,a0000022d899621050421511,No phone survey,,,,,,,1,1,0,19,1621,8,11,4,4,0.5,0.842105269,0.421052635,657,964,2,1,2,3,1,1,1,14,7,1,6,2,10
1007,a0000022d899621062435109,No phone survey,,,,,,,1,1,0,4,74,3,1,0,3,1,0.5,0.75,56,18,2,1,3,1,1,1,1,1,3,1,1,1,64
1007,a0000022d899621115502045,No phone survey,,,,,,,1,1,0,4,119,2,2,1,1,0.5,1,0.5,65,54,0,0,0,0,0,0,,,1,0,0,,
1007,a0000022d899621740847490,No phone survey,,,,,,,1,1,0,374,44370,227,147,185,42,0.185022026,0.786096215,0.606951892,9271,35099,2,1,87,53,1,1,1,5,40,1,11,1,19
1007,a0000022d89962196122318,Phone survey,Person,Working Formally,0,100,1,0,1,1,1,1,15,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,,,1,0,0,,
1007,a0000022d899622080382917,Phone survey,,,,,0,0,1,1,1,3,195,0,3,0,0,0,0,0,0,195,1,1,0,1,0,1,1,22,2,0,0,,
1007,a0000022d899622095600224,Phone survey,Person,Working Formally,0,100,1,0,1,1,1,46,1460,10,36,3,7,0.699999988,0.434782624,0.217391297,488,972,2,1,3,7,1,1,1,17,1,1,1,,
1007,a0000022d89962256157735,No phone survey,,,,,,,1,1,0,12,208,6,6,5,1,0.166666672,1,0.5,87,121,1,1,2,0,1,0,1,10,7,0,0,1,2
1007,a0000022d89962281138240,Phone survey,Person,Working Formally,0,100,1,0,1,1,1,11,678,4,7,4,0,0,0.727272749,0.363636374,0,678,2,1,3,6,1,1,1,33,1,1,1,,
1007,a0000022d89962460719525,Phone survey,Business - other,,,,0,0,1,1,1,6,273,5,1,2,3,0.600000024,0.333333373,0.833333313,127,146,0,0,0,0,0,0,1,23,1,0,0,,
1007,a0000022d89962468069097,No phone survey,,,,,,,1,1,0,37,5171,17,20,9,8,0.470588237,0.918918908,0.459459454,3012,2159,2,1,10,4,1,1,1,4,48,1,10,1,3
1007,a0000022d89962515720795,Phone survey,Person,Working Formally,0,67,0,0,1,1,1,1,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,,,1,0,0,,
1007,a0000022d89962632901135,Phone survey,Person,Self-employed,0,61,0,0,1,1,1,11,1155,0,11,0,0,0,0,0,0,1155,0,0,0,0,0,0,1,31,20,0,0,1,7
1007,a0000022d8996271417077,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1007,a0000022d89962811162345,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,1,22
1007,a0000022d89962820812453,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,2,6
1007,a0000022d89962871332645,Phone survey,Business - other,,,,0,0,1,1,1,966,264669,381,585,188,193,0.506561697,0.788819849,0.394409925,66019,198650,2,1,110,197,1,1,1,1,100,1,29,1,10
1007,a0000022d89962895013446,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,1,1
1007,a0000022d89962929818034,Phone survey,Person,Working Formally,0,100,1,0,1,1,1,38,2399,17,21,11,6,0.352941185,0.894736826,0.447368413,1509,890,2,1,1,9,1,1,1,13,4,1,1,23,23
1101,a0000022d93120-1275221209,Phone survey,Person,Self-employed,0,100,1,1,0,0,1,59,3945,28,31,6,22,0.785714269,0.949152529,0.474576265,1961,1984,2,1,10,8,1,1,1,9,6,1,1,5,20
1101,a0000022d93120-1296232361,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,3,3
1101,a0000022d93120-1373440619,Phone survey,Person,Working Formally,0,100,1,0,0,0,1,63,3061,15,48,2,13,0.866666675,0.476190448,0.238095239,1741,1320,2,1,11,23,1,1,1,11,1,0,0,,
1101,a0000022d93120-1406918896,No phone survey,,,,,,,0,0,0,44,1570,21,23,8,13,0.619047642,0.954545438,0.477272719,341,1229,2,1,6,6,1,1,1,8,15,1,4,1,9
1101,a0000022d93120-1421600478,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,0,1,7
1101,a0000022d93120-1540327443,Phone survey,Person,Working Informally,0,93,0,0,0,0,1,42,3174,4,38,0,4,1,0.190476179,0.095238097,1227,1947,2,1,4,30,1,1,1,40,1,1,1,,
1101,a0000022d93120-1581893731,Phone survey,Person,Working Formally,0,100,1,0,0,0,1,10,856,3,7,0,3,1,0.600000024,0.300000012,182,674,2,1,1,1,1,1,2,10,53,1,29,1,13
1101,a0000022d93120-1691076983,Phone survey,Person,Self-employed,0,100,1,0,0,0,1,4,120,0,4,0,0,0,0,0,0,120,0,0,0,0,0,0,,,13,0,0,,
1101,a0000022d93120-1793760014,No phone survey,,,,,,,0,0,0,58,2159,30,28,4,26,0.866666675,0.965517282,0.517241359,1237,922,2,1,15,9,1,1,1,26,6,1,4,1,2
1101,a0000022d93120-1956968723,Phone survey,Person,Self-employed,0,100,1,0,0,0,1,1,24,1,0,0,1,1,0,1,24,0,0,0,0,0,0,0,,,7,0,0,,
1101,a0000022d93120-587094671,No phone survey,,,,,,,0,0,0,17,1001,4,13,2,2,0.5,0.470588207,0.235294119,125,876,2,1,2,9,1,1,4,15,1,0,0,,
1101,a0000022d93120-676802574,Phone survey,Person,Working Formally,0,100,1,0,0,0,1,4,146,4,0,0,4,1,0,1,146,0,1,1,4,0,1,0,,,5,0,0,2,11
1101,a0000022d93120-703900406,Phone survey,Person,Working Formally,0,100,1,0,0,0,1,8,928,7,1,2,5,0.714285731,0.25,0.875,850,78,2,1,4,1,1,1,1,1,56,1,33,1,1
1101,a0000022d93120-761877945,Phone survey,Person,Working Formally,1,100,0,0,0,0,1,26,1084,2,24,1,1,0.5,0.153846145,0.07692308,343,741,2,1,2,17,1,1,1,30,40,1,21,1,17
1101,a0000022d93120-774539598,Phone survey,Person,Working Formally,0,100,1,0,0,0,1,126,5792,62,64,15,47,0.758064508,0.984126985,0.492063493,3518,2274,2,1,20,33,1,1,1,12,36,1,15,1,12
1101,a0000022d93120-873128408,Phone survey,Person,Not Working,0,100,0,0,0,0,1,30,3599,6,24,0,6,1,0.399999976,0.200000003,471,3128,2,1,5,15,1,1,1,24,5,1,5,4,4
1101,a0000022d93120-890920057,Phone survey,Person,Working Formally,0,100,1,0,0,0,1,11,303,0,11,0,0,0,0,0,0,303,0,0,0,0,0,0,,,1,0,0,,
1101,a0000022d93120-94041790,Phone survey,Person,Self-employed,0,100,1,0,0,0,1,25,673,15,10,6,9,0.600000024,0.799999952,0.600000024,281,392,1,1,9,0,1,0,1,4,16,1,15,2,3
1101,a0000022d931201032323094,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,1,167,1,15
1101,a0000022d931201065547095,Phone survey,Person,Working Formally,0,100,1,0,0,0,1,3,629,3,0,0,3,1,0,1,629,0,1,1,3,0,1,0,1,3,8,1,7,2,7
1101,a0000022d93120106809590,Phone survey,Person,Not Working,0,100,0,0,0,0,1,16,1936,6,10,1,5,0.833333313,0.75,0.375,324,1612,2,1,3,4,1,1,1,24,40,1,21,1,19
1101,a0000022d931201087253394,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1101,a0000022d93120110229509,Phone survey,Person,Working Informally,0,100,0,0,0,0,1,131,12452,44,87,8,36,0.818181813,0.671755731,0.335877866,5543,6909,2,1,17,23,1,1,1,16,12,1,9,2,42
1101,a0000022d931201343214842,Phone survey,Person,Working Formally,0,100,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,,,78,1,54,1,1
1101,a0000022d931201406054079,Phone survey,Person,Self-employed,0,100,1,0,0,0,1,6,450,4,2,0,4,1,0.666666627,0.666666687,355,95,1,1,0,1,0,1,1,1,13,0,0,,
1101,a0000022d93120152399024,No phone survey,,,,,,,0,0,0,56,4542,19,37,5,14,0.736842096,0.678571403,0.339285702,2788,1754,2,1,8,13,1,1,1,20,13,1,5,2,10
1101,a0000022d931201556907128,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1101,a0000022d931201563694163,Phone survey,Person,Working Formally,0,100,1,0,0,0,1,103,3999,16,87,0,16,1,0.310679615,0.155339807,538,3461,2,1,7,37,1,1,1,4,13,1,7,1,8
1101,a0000022d931201598747725,No phone survey,,,,,,,0,0,0,35,1931,6,29,1,5,0.833333313,0.342857122,0.171428576,167,1764,2,1,6,20,1,1,1,33,3,1,3,2,2
1101,a0000022d931201668120447,No phone survey,,,,,,,0,0,0,44,2275,18,26,5,13,0.722222209,0.818181813,0.409090906,676,1599,2,1,7,5,1,1,1,27,29,1,14,1,27
1101,a0000022d931201695689936,Phone survey,Person,Self-employed,0,100,1,0,0,0,1,39,2478,9,30,0,9,1,0.461538434,0.230769232,324,2154,2,1,1,3,1,1,1,14,4,0,0,1,17
1101,a0000022d931201774756178,No phone survey,,,,,,,0,0,0,5,191,4,1,1,3,0.75,0.399999976,0.800000012,161,30,2,1,1,1,1,1,1,1,2,0,0,,
1101,a0000022d931201860961896,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1101,a0000022d931201885840786,Phone survey,,,,,0,0,0,0,1,214,10015,74,140,19,55,0.743243217,0.691588759,0.34579438,3620,6395,2,1,38,57,1,1,1,14,24,1,4,1,27
1101,a0000022d931201911327944,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,3,3
1101,a0000022d931201913640689,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,1,4
1101,a0000022d931201967161539,Phone survey,Person,Working Formally,0,100,0,0,0,0,1,59,1676,20,39,2,18,0.899999976,0.677966118,0.338983059,585,1091,2,1,8,17,1,1,1,15,1,0,0,,
1101,a0000022d931201976963273,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2
1101,a0000022d931202018397928,Phone survey,Person,Working Formally,0,100,1,0,0,0,1,28,1254,0,28,0,0,0,0,0,0,1254,1,1,0,6,0,1,1,10,7,1,1,2,2
1101,a0000022d93120219787902,No phone survey,,,,,,,0,0,0,5,1076,3,2,1,2,0.666666687,0.799999952,0.600000024,831,245,1,1,1,0,1,0,1,4,6,1,6,,
1101,a0000022d93120267015203,No phone survey,,,,,,,0,0,0,78,2421,36,42,5,31,0.861111104,0.923076928,0.461538464,1156,1265,2,1,15,13,1,1,1,26,91,1,66,1,29
1101,a0000022d93120288983628,Phone survey,,,,,0,0,0,0,1,151,7676,46,105,8,38,0.826086938,0.609271526,0.304635763,3108,4568,2,1,8,51,1,1,1,8,32,1,4,1,23
1101,a0000022d93120511912024,No phone survey,,,,,,,0,0,0,37,2715,1,36,1,0,0,0.054054081,0.027027028,0,2715,2,1,1,31,1,1,1,16,55,1,43,1,19
1101,a0000022d93120523136904,Phone survey,Person,Working Formally,0,100,0,0,0,0,1,22,2921,9,13,1,8,0.888888896,0.818181813,0.409090906,1343,1578,2,1,5,7,1,1,1,18,61,1,39,1,24
1101,a0000022d93120540900872,Phone survey,Person,Not Working,1,100,0,0,0,0,1,53,5115,9,44,2,7,0.777777791,0.339622617,0.169811323,541,4574,2,1,4,21,1,1,1,25,2,1,2,,
1101,a0000022d93120545806808,Phone survey,,,,,0,0,0,0,1,99,4289,34,65,7,27,0.79411763,0.686868668,0.343434334,1586,2703,2,1,11,39,1,1,1,11,28,1,15,1,17
1101,a0000022d93120551381700,Phone survey,Person,Not Working,0,100,0,0,0,0,1,27,806,12,15,2,10,0.833333313,0.888888896,0.444444448,322,484,2,1,2,2,1,1,1,14,1,0,0,,
1101,a0000022d93120665074297,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0,0,1,6
1101,a0000022d93120809931985,Phone survey,Person,Self-employed,0,100,1,0,0,0,1,1,35,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,,,3,0,0,,
1101,a0000022d93120904311537,Phone survey,Person,Working Formally,0,100,1,1,0,0,1,49,1544,14,35,1,13,0.928571403,0.571428597,0.285714298,593,951,2,1,4,9,1,1,1,19,119,1,37,1,6
